,coef,p-val
1000134,-0.5081495473197969,0.11050595355396199
1000188,-0.371129352420303,0.26113524806351096
1000194,0.07012102425063428,0.8376766334646062
1000293,0.2559898425245689,0.44738023680122707
1000739,,
1001160,-0.3015209934039362,0.36754196966449815
1001192,-0.5022883414749454,0.11537067274689115
1001229,-0.379279858428014,0.24997759555242216
1001630,-0.5011402523360257,0.11633945886179564
1001689,-0.5135604075836093,0.10613472340912981
1002577,0.18865589843259145,0.578527002527116
1003017,-0.35389916416304706,0.285633883118648
1003384,-0.7016981005111517,0.016099499432181134
1003491,-0.3728448110759088,0.25876377980143567
1003806,0.3086066999241838,0.35582217180172016
1003875,-0.1409211907227026,0.6793950089120759
1004360,-0.23069618485567675,0.4949345237175593
1004575,0.07161627356928361,0.8342561932858391
1004593,-0.5011402523360257,0.11633945886179564
1004621,-0.13231959076971597,0.698142922942552
1004648,0.5011402523360257,0.11633945886179564
1004670,0.23911689820368515,0.4788619942248178
1005069,0.8133175821439593,0.0023284696460990277
1005073,-0.02646709549638958,0.9384293918424952
1005265,0.38418872429343975,0.24339190042737263
1006237,-0.7799326450890334,0.004636129816945072
1006238,0.20851441405707477,0.5383692431650318
1006242,-0.5022883414749454,0.11537067274689115
1006416,-0.04039931255213509,0.9061208175210518
1006570,-0.6043547873515266,0.0489072371666341
1006696,-0.36488734989135646,0.2698678780630877
1006697,0.3034683233153239,0.3643016076589439
1007052,-0.44222778089979436,0.17321841413393452
1007256,-0.5022883414749454,0.11537067274689115
1007308,-0.8399751784399685,0.0012124492124750718
1007312,-0.2345207879911715,0.4876053580922842
1007341,0.17380280189133324,0.6092917106697234
1007602,0.5011402523360257,0.11633945886179564
1007753,0.7433823896394909,0.008740212592616063
1008007,-0.11111587441084156,0.744991081493835
1008057,-0.5022883414749454,0.11537067274689115
1008423,0.051796977028281226,0.8797824993055596
1008631,0.5046083923495819,0.11342886845579629
1008635,0.5011402523360257,0.11633945886179564
1008646,0.030023815310713263,0.9301717330818224
1008806,0.6095569153307367,0.04648190088891291
1008984,-0.20785718292032257,0.539679600308915
1009068,-0.5815821362113486,0.060549363336191625
1009206,0.5,0.11730680301423815
1009215,0.08314642120291707,0.8079709878648247
1009324,-0.09722639010948636,0.7761154011400406
1009447,0.06274704227995227,0.8545808045956547
1009757,0.34783428343195877,0.2945495749122838
1010048,-0.4412209491013838,0.1743149862499075
1010188,-0.6835859270246633,0.020385128320436187
1010297,-0.5034443575988876,0.11440046794075497
1010441,0.5468782625442247,0.08169159819896578
1010766,-0.5069608917800194,0.11148158531428173
1011037,-0.5764694902340728,0.06339993384102897
1011067,-0.2743651637761665,0.4142368374485954
1011253,-0.29145725699277875,0.38452100222290886
1011551,-0.6607158652139772,0.026886266726799814
1011746,-0.06757373783994859,0.843509432369986
1011982,0.11353353490382605,0.7396069374885601
1011990,0.16898908915360314,0.619388361759295
1011994,0.038702026370205506,0.9100508594450384
1012111,0.15244486419593908,0.6545330193206453
1012300,-0.541828369182877,0.08512813822741143
1012400,0.305085107923876,0.36162246392006936
1012496,-0.6965141596603885,0.017252755414286003
1012611,-0.05853880146756139,0.8642528896746656
1012757,-0.030885918171490445,0.9281710856557169
1012759,-0.11575981603464654,0.7346582511720734
1012765,0.25773071367795275,0.44418840807207416
1012791,0.09460733703618626,0.782018994496178
1013202,0.2665424099438659,0.4281978696115407
1013232,0.5034443575988876,0.11440046794075497
1013646,-0.23115423855882591,0.49405420634572095
1013671,0.5034443575988876,0.11440046794075497
1013765,0.25773071367795275,0.44418840807207416
1013767,0.13900960937138318,0.6835478086255905
1014410,0.1503116192704361,0.6591125912151432
1014620,0.34816359176232875,0.29406158904212126
1014621,0.407107495347944,0.21398575860005398
1014686,-0.13576884666042613,0.6906061395132127
1014760,0.33202613875521797,0.31849610888472063
1015013,-0.5,0.11730680301423815
1015131,0.16723646889862379,0.623079257951796
1015336,0.15065440562044594,0.6583759966194177
1015847,-0.499103275183116,0.11807117325429875
1015970,-0.372507003813228,0.25922979593405576
1015998,0.5022883414749454,0.11537067274689115
1016193,-0.7127112265890327,0.013834699900329145
1016332,0.34553866213656276,0.2979637089846292
1016374,-0.3318662960738457,0.3187434282992919
1016492,-0.3823805070855347,0.24580602530178716
1016842,-0.11263553071081035,0.7416055869662193
1016849,-0.3602780970579006,0.27642035205629123
1016867,0.3006841514016155,0.3689389905231536
1017127,-0.5689742403097787,0.06774096097133098
1017166,0.5022883414749454,0.11537067274689115
1017396,0.38135638490484497,0.24717940444089737
1017399,-0.09300994950501518,0.7856247515282611
1017400,-0.6607158652139772,0.026886266726799814
1017539,0.16368777124178502,0.6305763768370347
1017546,0.5011402523360257,0.11633945886179564
1017582,-0.7502409557126396,0.00782137020792679
1017770,0.4046244310870986,0.21706475525920535
1017889,0.1802300180070065,0.5959057868032279
1017932,-0.250068265351419,0.458316861222413
1018851,-0.2564699614366308,0.4464988870528971
1018890,0.5022883414749454,0.11537067274689115
1019299,-0.3197301089198876,0.33782136905825316
1019300,-0.18764744237776723,0.5805966322951179
1019301,0.05507302015965886,0.8722311603447921
1019315,-0.06757373783994859,0.843509432369986
1019435,-0.44548927337062816,0.1696953256913617
1019979,0.04045199174779453,0.9059988694131618
1020121,0.026403704382738896,0.9385766189616954
1020234,-0.28248512431307354,0.3999834152277628
1020648,-0.4879393432023703,0.1278560658639424
1020853,0.38135638490484497,0.24717940444089737
1020951,0.5022883414749454,0.11537067274689115
1021005,0.0,1.0
1021211,-0.5022883414749454,0.11537067274689115
1021276,-0.3537473757227027,0.28585517080950584
1021327,0.48054741976584786,0.13461081263615535
1021756,-0.6738905255061629,0.0229859296068345
1021784,0.3976087652198194,0.22590468024421234
1021992,-0.5142208445046514,0.10560900499736017
1022426,0.25773071367795275,0.44418840807207416
1022538,-0.594309352967127,0.053833958799825644
1022752,-0.5022883414749454,0.11537067274689115
1022818,0.6081636405595373,0.047123162827985836
1022858,0.15948846365022457,0.6394885024398225
1023022,0.2678979122406535,0.42576279819925367
1023024,-0.5034443575988876,0.11440046794075497
1023269,-0.16187405152200812,0.6344202708733484
1023581,0.40275548607911016,0.21939939655005866
1023826,-0.5034443575988876,0.11440046794075497
1023856,-0.39640072694199135,0.22744777979101252
1023944,-0.19355044226326584,0.5685228451256483
1024042,-0.21203531530236058,0.5313718779598018
1024136,0.08256967605957433,0.8092817813117135
1024193,0.09963204091820213,0.7707021820957023
1024206,-0.34721202839266735,0.2954728798209758
1024549,0.8709729269383298,0.00048222871680054125
1024726,-0.632528420166422,0.036759112712456174
1024771,-0.09580350541380028,0.7793214184156797
1024996,0.5034443575988876,0.11440046794075497
1026000,-0.6622226308314962,0.02641811595488698
1026122,0.037106180177913096,0.9137476711353741
1026289,0.29065471047835206,0.3858917001934624
1026417,-0.48337753997661714,0.13199851839421495
1026604,,
1026669,-0.44304562390441626,0.17233079691511904
1026863,0.5081495473197969,0.11050595355396199
1026864,0.6181151760211895,0.04267434154974649
1027313,-0.06757373783994859,0.843509432369986
1027596,0.5081495473197969,0.11050595355396199
1028020,0.5983660736054126,0.05180532729187866
1028206,0.06772854614785963,0.8431547466926002
1028533,-0.16261489773363863,0.6328491781406502
1028944,-0.06741998624632421,0.8438617228056743
1029120,-0.2505701261680129,0.4573852261533532
1029226,0.3583857795343965,0.2791359846227208
1029341,-0.38095861334447517,0.24771401490847753
1029499,-0.5046083923495819,0.11342886845579629
1029509,-0.4485137601242801,0.16646795138203077
1029524,-0.6119528587806932,0.04539325886756794
1030027,-0.15941126546912343,0.6396527442427342
1030118,0.2235042022879368,0.508846118706179
1030229,0.054048996853227296,0.874590551921837
1030661,0.42704518683906156,0.19020545483623413
1030793,-0.5545861425186209,0.07662615980095666
1030971,0.7253235664820743,0.011534009589421936
1031339,-0.5022883414749454,0.11537067274689115
1031340,0.5034443575988876,0.11440046794075497
1031448,-0.43400825772466844,0.1822947252619028
1031536,-0.20137774303955508,0.552667633728787
1031935,-0.5,0.11730680301423815
1031944,0.3711576855231961,0.2610959802441729
1032434,-0.5081495473197969,0.11050595355396199
1032438,0.5540313947808745,0.07698352932238822
1032760,-0.35843539979873223,0.2790645859758056
1033311,0.432471922175671,0.18402263650726364
1033373,-0.2659359417861562,0.42928950084805284
1033649,0.25773071367795275,0.44418840807207416
1033756,0.5382154870103003,0.08764467008638031
1033830,-0.05108094442387969,0.881434185357728
1033880,0.0,1.0
1034014,-0.7745966692414835,0.005121072764272622
1034094,-0.2136869215853441,0.5281026377219737
1034149,0.6564305961595007,0.028249670640742235
1034150,-0.5674666057345166,0.06863768938757074
1034284,-0.31783707801838557,0.3408502677899808
1034605,0.5142208445046514,0.10560900499736017
1034639,-0.5666230173895307,0.06914291816107372
1034980,-0.3054799049859588,0.360969798529601
1035908,-0.5069608917800194,0.11148158531428173
1036245,0.3057089202578715,0.36059147643796874
1036410,-0.09534505841513888,0.7803550427357172
1036577,0.042276357216810785,0.9017767503056775
1036714,0.6637397522490244,0.025952595172765918
1036734,-0.5034443575988876,0.11440046794075497
1036799,0.35123280880536834,0.2895349076972951
1036928,-0.23704991151750873,0.4827853708465555
1037005,-0.41952353926806063,0.19897996222447503
1037065,-0.07325794357582566,0.8305037790623298
1037097,0.5011402523360257,0.11633945886179564
1037427,0.6437963064592142,0.03255205996090815
1037455,-0.2659359417861562,0.42928950084805284
1037667,0.5440710330798221,0.08359036461063525
1037729,-0.11334617063072829,0.7400238272314241
1037730,0.19926408183640426,0.5569314928604323
1037731,0.05154614273559056,0.8803610549265368
1037973,-0.6307261810338992,0.03746545539560058
1038153,-0.5142208445046514,0.10560900499736017
1038398,0.5,0.11730680301423815
1038874,-0.5,0.11730680301423815
1038923,0.30137300488496727,0.36778882387664924
1039105,0.3064856665432782,0.35930985258734327
1039151,0.2485694132201965,0.46110446764026225
1039322,-0.22702615711972518,0.5020125793011387
1039350,0.4472402168016401,0.1678222740131028
1039413,0.5,0.11730680301423815
1039433,0.8801408338010137,0.0003509032058838267
1039501,-0.4119550732793412,0.20804970905160775
1039618,,
1039619,-0.5034443575988876,0.11440046794075497
1039732,0.27390495330493037,0.4150519696130013
1039814,-0.26967994498529685,0.42257162813419624
1039927,-0.6708203932499368,0.023856384540122025
1039944,-0.7005277777323904,0.0163548694653104
1040245,0.3409971697352368,0.30478156336489326
1040606,0.4166425113771211,0.2024040034222361
