,coef,p-val
925,-0.05380919557654953,0.8751431970089321
964,0.02331768982011714,0.9457459571002443
992,-0.4582159384704758,0.1563719725026116
982,-0.20229904301146814,0.5508132389625133
1025,-0.07762638004612794,0.8205343631889062
1000,0.7416198487095662,0.008988517447141386
974,0.7418569665332865,0.008954816976527197
1007,0.1963971860982906,0.5627357720512555
1072,0.22936745106799178,0.4974920599369349
896,-0.493155826175401,0.12322185658071347
993,0.018789492096360348,0.9562721404155906
997,0.2910124742102098,0.3852803602101873
981,-0.26208627922687067,0.4362496888943429
973,-0.019112739302699862,0.9555204988195128
998,0.07186994682200862,0.8336761601508523
1012,-0.29099384762368896,0.3853121769691853
1006,0.3770364016947964,0.2530210455131751
1048,-0.18265030599088924,0.5908938449268892
1017,-0.42167884835071406,0.19644129450731024
1047,-0.5114208567744899,0.10784950997626619
1019,0.013662018120941246,0.9681988857842123
1002,-0.20184335693983277,0.5517301304599952
1051,0.3996418072438565,0.22332163950462044
1016,0.3599098175867821,0.276947700273761
1005,0.17846304972008006,0.5995748467998612
1035,-0.4453194528540574,0.169877670138182
977,-0.3131268416669705,0.3484484137861288
1053,0.24133477799981642,0.4746681902497254
1042,0.33790306608314513,0.30947476272949803
984,-0.2783349703706404,0.40723786489606617
985,-0.1412304347492436,0.6787239417000244
999,-0.13530477901578458,0.6916186985163714
1001,0.4259190476791093,0.19150401078423598
1026,0.09216981340741337,0.7875226998321219
946,-0.6062599353230456,0.04800916256060831
1063,0.01865415185609371,0.9565868544532892
995,-0.03038212569690137,0.9293401719249412
954,-0.06559553986911043,0.8480440142969873
1082,0.5229577884350213,0.09881323107930529
991,0.004708085405217893,0.9890388745148061
1010,0.7714634036582371,0.00542267516371912
975,0.14278282711426993,0.6753583826363334
1041,0.06437206858203841,0.8508506311085058
1028,0.17932219104996414,0.597789813612597
1218,0.3371307152078719,0.3106523577454196
963,-0.587605783466952,0.057304020860518674
1003,-0.4239718387182015,0.19376193919740306
911,-0.35946227228891214,0.2775893081173947
988,-0.04370252150862278,0.8984777709671504
990,-0.6220695572602646,0.04099023446080276
956,-0.19872480051785538,0.5580214811761692
1009,0.04262003789793153,0.9009816245582539
972,-0.4487206256773126,0.16624860310751507
912,-0.013825472011112007,0.9678185824267639
1034,0.4954336943068623,0.12123246989021404
1004,-0.1656665147579944,0.6263920959936817
1023,0.35909242322980395,0.2781201560299044
971,0.193986241834069,0.5676354061605321
923,0.3520372601844009,0.2883548635624044
996,-0.3517632353407242,0.28875652926007117
944,-0.3707181178682718,0.2617055695359193
1077,0.34810374480574197,0.2941502401949893
989,0.004663537964023428,0.9891425823182269
947,0.2414584852164488,0.47443476075216384
1014,0.3548537816185415,0.2842443560737086
1069,0.41096318847950086,0.2092562458010888
945,-0.2933336123666288,0.38132587593034206
979,-0.20866104054374815,0.5380770851288229
983,-0.3917217069815068,0.23348259206822572
1036,0.44548630017417135,0.16969851711938286
1122,0.4605896841472431,0.1539613572214258
1055,0.1732050807568877,0.6105421404518439
1037,0.1694347484174715,0.6184510864338799
1015,-0.11521838449545894,0.7358609458354772
970,0.1834939608543934,0.5891505572491909
1018,0.14679516868351475,0.6666844982807617
1043,0.4576766887262615,0.15692285050664212
920,-0.315071777834284,0.34530037441845884
1011,-0.1407828818422887,0.6796952102450917
1044,-0.09281966737816205,0.7860545257841726
1008,0.5188975413172559,0.10193471259819685
1093,0.6940711627653792,0.017816259325111435
1086,0.3367876570272817,0.3111761924463723
1030,0.47585433321274545,0.139014446059211
1038,0.4009122018688206,0.2217164105348376
994,-0.1208872610803457,0.7232953712181194
958,-0.6819382662021296,0.020811530390645854
943,-0.34427915784743424,0.2998460685995542
986,0.27252386205108964,0.4175028479643944
1068,0.13986544423375416,0.681687576394671
1052,0.20550887269534085,0.5443722353098495
1031,0.004706520789374209,0.9890425169856965
1022,0.1318468506174431,0.6991778078327666
980,-0.46034255636082855,0.15421123599074335
1020,0.4827068870285914,0.13261461668578522
886,0.11845133237033335,0.7286875040111365
905,-0.009195620984470755,0.9785927802497729
