,coef,p-val
1000131,0.09814798787003115,0.7740405431736276
1000249,0.3535856770999474,0.286091010856316
1000358,-0.03353930851693736,0.9220158565541319
1000360,0.25120626985593364,0.4562055706332976
1000362,-0.8604509011436846,0.0006754207106152831
1000739,0.18417204486189856,0.587750813121625
1000809,0.4552024849729859,0.15946586509159286
1000823,0.2251382377224307,0.5056706797901604
1001353,-0.590857473603029,0.05560233538625975
1002798,0.20230366165835661,0.5508039488819898
1002891,0.6115346515293649,0.04558199899260842
1002933,0.5335228693853846,0.09098602344533854
1003383,0.37133379786703113,0.2608519752845188
1003384,-0.09519679655241567,0.7806893854542865
1003817,0.5985102494395447,0.051734208644990926
1003905,0.29956779968819325,0.3708068387752934
1004146,-0.23537028138352606,0.4859840239080747
1004368,-0.4055687134240155,0.21589078208962884
1004406,-0.2831828407379439,0.3987701199368745
1004511,-0.2836872730658208,0.39789407167448476
1004593,0.2042456838823144,0.5469033369177074
1004845,0.3112136294739903,0.35155965703820413
1005043,0.34265135129169416,0.30228848245015655
1005337,0.4965844318602437,0.12023534902406141
1005341,-0.25867775485351985,0.44245653900606496
1006391,-0.23789114955279053,0.48118687642687896
1006570,0.5046083923495819,0.11342886845579629
1006589,0.2047065262876636,0.5459793742526837
1006742,-0.4745007319500969,0.14030124713283473
1007251,-0.08433712268885626,0.8052662341716509
1007342,-0.1601868410541915,0.6380033411024162
1007426,-0.042067558657248046,0.9022598578273124
1008205,0.3809451145073018,0.24773216917763524
1008600,-0.4352598246137737,0.1808944161679804
1008660,0.5262303346197953,0.09634335362498268
1008831,0.5774639017394091,0.06283852628654557
1008886,0.08695857085798969,0.7993182320516962
1008898,0.5445411759521553,0.08327034614037816
1008899,0.15818231576774008,0.6422693283674532
1008909,-0.811137426848031,0.002445145582242092
1009169,0.3105055201845118,0.35271482715942337
1009206,0.4609838852998471,0.15356329065513508
1009324,-0.07681838945081189,0.8223765630474129
1009355,0.5694775594727565,0.06744335731677838
1009414,0.30913082437306366,0.35496305020159824
1009498,0.42774001100037007,0.18940691173739233
1009703,0.477158055876507,0.1377821323912742
1009709,0.4092224359858156,0.21138374268586962
1009819,0.44303610658222564,0.17234111012092393
1009823,-0.39667991706309985,0.22709060716134083
1010132,0.16072692408471817,0.6368556246765715
1010297,0.5317118396479567,0.09229768057186419
1010344,0.48277010168471457,0.13255646646653008
1010356,-0.786258837680612,0.004106094451397143
1010483,0.5160439611728963,0.10416657385467495
1010709,-0.37987165164279707,0.24917829130403277
1010811,0.6981239600355323,0.016888491268906278
1011323,0.5205479452054795,0.10065824430011354
1011337,-0.13826206139455072,0.6851739631830647
1011498,0.09631426606617745,0.7781702243429978
1011982,0.3742275995918744,0.2568611509926528
1011989,-0.4972489213870968,0.11966197019432816
1012179,-0.5662159485717567,0.06938760597963256
1012299,0.16327671889543696,0.6314468219534678
1012300,0.6772854614785964,0.022049906043081807
1012349,0.379694740620526,0.249417081927894
1012492,-0.842423539174232,0.001135401098030215
1012571,0.18634920820132364,0.5832651514065567
1013162,0.49198652416272215,0.12425113893551434
1013366,0.17351598173515984,0.609891620275172
1013766,0.7942767628710199,0.0035003581749758444
1014071,0.1474717014518614,0.665225538138173
1014303,0.1503543998100001,0.6590206476254038
1014351,0.0965581028730576,0.7776207859925836
1014402,-0.24250397412921823,0.4724640456202768
1014824,-0.23953167197283545,0.47807643468884087
1015315,0.2594166117196964,0.4411075877053938
1015847,-0.06819943394704735,0.8420760433785544
1016014,0.021368692158534413,0.9502757033038602
1016374,0.3769771303909353,0.2531017382497138
1016509,0.7389790224568489,0.009370119610235357
1016545,-0.47006604837780824,0.14456958410745413
1016898,0.29631511877002636,0.3762765231718912
1016915,0.6277007578872894,0.03867234997780723
1016928,-0.4887156383896587,0.12715949379547048
1016970,0.5517605878460434,0.07845798477013442
1017127,0.2027212135198458,0.54996433484895
1017138,0.33932860375277213,0.3073076336891516
1017165,-0.0675737378399486,0.8435094323699859
1017334,-0.317262338011475,0.34177268324771953
1017399,0.06835859270246632,0.8417114996842202
1017489,0.45231399923396404,0.16246684076615828
1017580,0.3099445621657046,0.35363134095441506
1017637,0.7191424744913287,0.012623782826861258
1017932,0.570249128464918,0.06698885507172599
1018068,-0.11548114055960707,0.7352772129516483
1018616,0.42922821907858977,0.18770338571200482
1018681,-0.17660736268297844,0.6034371437920872
1018699,0.407629426329472,0.2133418723715704
1018851,0.1767928385499737,0.6030506941231608
1019077,0.3861229196653692,0.24082478583719671
1019157,-0.4211693151426613,0.19703969042647618
1019470,0.5263281920352006,0.09627012798266543
1019472,0.5642880936468349,0.0705543451730079
1019797,0.42009132420091333,0.1983092881190294
1019829,0.10516889664312012,0.758278264530165
1019841,0.25004287796961466,0.45836401259866344
1019860,-0.7193787788820487,0.012580804297016244
1020173,0.2425635641488454,0.47235183195586006
1020342,-0.6975060889800266,0.01702764395451421
1020388,0.5530482455782029,0.07761960620323292
1020406,-0.07472403068865159,0.8271553813614995
1020497,-0.6540055627669867,0.029042431767382856
1020514,-0.6929950358331262,0.018068611472724677
