,fpr,tpr
1000131,0.04593929450369155,1.0
1000249,0.014928384103288278,1.0
1000358,0.006568471337579618,0.9756733275412685
1000360,0.004618473895582329,0.9785714285714285
1000362,0.0008014425966740132,0.8786610878661087
1000739,0.0,1.0
1000809,0.007317073170731708,0.9797101449275363
1000823,0.003198720511795282,0.9836223506743738
1001353,0.0025875796178343948,0.9533678756476683
1002798,0.038461538461538464,1.0
1002891,0.032525378081624194,0.9788519637462235
1002933,0.015261044176706828,0.9493506493506494
1003383,0.0007960199004975124,0.968421052631579
1003384,0.0006008411776487082,1.0
1003817,0.0,1.0
1003905,0.005739164852562834,0.9824945295404814
1004146,0.0005971337579617834,0.9565217391304348
1004368,0.004012036108324975,0.9384615384615385
1004406,0.0003971405877680699,0.9525065963060686
1004511,0.0023894862604540022,0.9433962264150944
1004593,0.0,0.9958677685950413
1004845,0.010631895687061183,0.9838541666666667
1005043,0.003107399495047582,0.9591218773656321
1005337,0.0017371163867979154,0.9336650082918739
1005341,0.001991238550378335,0.9481566820276498
1006391,0.002196485623003195,0.9292035398230089
1006570,0.0,1.0
1006589,0.002396644697423607,0.9417040358744395
1006742,0.004388589666866148,0.9446902654867256
1007251,0.00019924287706714485,0.9651162790697675
1007342,0.00039439952672056796,0.9879518072289156
1007426,0.0015958507879513266,0.9763092269326683
1008205,0.018129965369729068,1.0
1008600,0.0,0.9634146341463414
1008660,0.0023636005515067955,0.9636711281070746
1008831,0.01925805797689033,0.944327731092437
1008886,0.006889564336372847,0.9209039548022598
1008898,0.005349712700614226,0.9685863874345549
1008899,0.015519705942413723,1.0
1008909,0.008259468170829976,0.9559014267185474
1009169,0.005430410297666935,1.0
1009206,0.0022022022022022024,1.0
1009324,0.0013997200559888023,1.0
1009355,0.01411446249033256,0.9661105318039624
1009414,0.002786624203821656,0.9601990049751243
1009498,0.003379721669980119,0.8727272727272727
1009703,0.0007977662544874351,0.9464285714285714
1009709,0.01498800959232614,0.9705159705159705
1009819,0.0005903187721369539,0.9920273348519362
1009823,0.00464740351586179,0.9570552147239264
1010132,0.0003979307600477517,1.0
1010297,0.0008009611533840609,1.0
1010344,0.026650989613952576,1.0
1010356,0.0,0.8648648648648649
1010483,0.00853658536585366,0.9711538461538461
1010709,0.018010471204188482,0.948780487804878
1010811,0.0008003201280512205,1.0
1011323,0.050268229684085036,1.0
1011337,0.0,0.9831932773109243
1011498,0.0007936507936507937,0.9142857142857143
1011982,0.0,1.0
1011989,0.0005942947702060222,0.8089171974522293
1012179,0.003787123779150887,0.9218106995884774
1012299,0.0001999600079984003,0.9583333333333334
1012300,0.0002,1.0
1012349,0.0027526543452615023,0.9270833333333334
1012492,0.0,0.7692307692307693
1012571,0.00039556962025316455,1.0
1013162,0.024751580849141825,1.0
1013366,0.0665667808219178,1.0
1013766,0.0008017638805371818,1.0
1014071,0.010141181149333864,0.9951923076923077
1014303,0.0005984440454817474,0.9390243902439024
1014351,0.02235410484668645,0.9752988047808765
1014402,0.00219210840972499,0.9419889502762431
1014824,0.0009964129135113591,0.9021739130434783
1015315,0.0021821067248561795,0.9649122807017544
1015847,0.0,1.0
1016014,0.002201761409127302,0.9743589743589743
1016374,0.00040032025620496394,0.9894179894179894
1016509,0.00019992003198720512,1.0
1016545,0.006349856616140926,0.9981949458483754
1016898,0.0018075918859208676,1.0
1016915,0.004984051036682616,0.9541547277936963
1016928,0.009681323114158934,0.8419117647058824
1016970,0.018178145829125428,1.0
1017127,0.0,1.0
1017138,0.0034163987138263667,0.9646017699115044
1017165,0.0022172949002217295,0.9951100244498777
1017334,0.019751442521083,0.9853747714808044
1017399,0.0,1.0
1017489,0.02745810619826368,1.0
1017580,0.0,0.9830508474576272
1017637,0.0,1.0
1017932,0.010564082120789317,1.0
1018068,0.001,0.9446808510638298
1018616,0.01923872569300786,0.9852135815991238
1018681,0.011605824013504958,0.9962299717247879
1018699,0.006350466362373487,0.9791666666666666
1018851,0.003026634382566586,1.0
1019077,0.0034122842232035327,0.946236559139785
1019157,0.0,0.82
1019470,0.010362694300518135,0.9936708860759493
1019472,0.0035721373288350863,0.974169741697417
1019797,0.01794771751853297,1.0
1019829,0.000791295746785361,0.9
1019841,0.019647559246505974,0.942883046237534
1019860,0.002639058059277304,0.9805194805194806
1020173,0.0025188916876574307,1.0
1020342,0.001001201441730076,0.9615384615384616
1020388,0.006281900274833137,0.9872122762148338
1020406,0.0005954743946010321,0.9523809523809523
1020497,0.002243982048143615,0.967032967032967
1020514,0.0041211621677313005,0.9916142557651991
1020717,0.0029562475364603865,0.9291845493562232
1021076,0.0010054293183189222,0.9465875370919882
1021142,0.014388489208633094,0.9522292993630573
1021236,0.0017967658215212617,0.9779411764705882
1021276,0.0,1.0
1021354,0.0014008405043025814,0.9672131147540983
1021630,0.0024009603841536613,0.9545454545454546
1021756,0.0,1.0
1021872,0.0016012810248198558,0.9411764705882353
1021987,0.0,0.9024390243902439
1022106,0.006787781992413655,1.0
1022107,0.004785643070787637,0.9588785046728971
1022226,0.0015710919088766694,0.9889173060528559
1022234,0.008159203980099502,0.9607476635514018
1022712,0.0018285249898415277,0.9899665551839465
1023107,0.014860681114551083,0.9727810650887574
1023706,0.005009016229212583,1.0
1023854,0.0046719875413665565,1.0
1023897,0.014711809754131399,0.9331919406150583
1023904,0.004051863857374392,0.9934640522875817
1024194,0.004931939238508582,1.0
1024270,0.00617652918908149,1.0
1024352,0.007167031654389807,0.9639917695473251
1024362,0.010715729882733522,0.9940253920836445
1024389,0.004790419161676647,0.9767441860465116
1024427,0.004030632809351068,0.976303317535545
1024606,0.006248779535247022,1.0
1024726,1.0,
1024763,0.0004027386226339106,0.9701492537313433
1024981,0.0005959475566150178,1.0
1025054,0.028787260106165783,1.0
1026000,0.0,1.0
1026103,0.006239935587761675,0.9795158286778398
1026215,0.004111842105263158,0.9977827050997783
1026365,0.0033844316145729644,1.0
1026946,0.0004007212983370066,1.0
1026977,0.002989238740534077,1.0
1027012,0.0,0.7966101694915254
1027206,0.004609218436873747,0.958904109589041
1027394,0.0017903322060871295,0.901840490797546
1027791,0.015547139724935221,0.9618138424821002
1027806,0.015796840631873626,1.0
1028174,0.00019646365422396856,0.9447368421052632
1028193,0.008226324237560192,1.0
1028294,0.00020100502512562814,0.9611111111111111
1028306,0.0,0.85
1028378,0.0002,1.0
1028571,0.003999200159968006,0.9507575757575758
1028800,0.001820020222446916,0.9947368421052631
1028944,0.00039635354736424893,1.0
1029289,0.0012045773940975708,0.987012987012987
1029473,0.00040016006402561027,1.0
1029643,0.0007990411506192569,0.9411764705882353
1029924,0.0019972039145196726,0.9224806201550387
1030062,0.0008009611533840609,0.9892183288409704
1030218,0.004163362410785091,0.9580152671755725
1030936,0.011788211788211789,0.9571428571428572
1030957,0.013157894736842105,0.9396039603960396
1030997,0.00039880358923230307,0.968
1031205,0.0,0.9655172413793104
1031818,0.016390243902439025,1.0
1031917,0.0,1.0
1032123,0.0,0.8802588996763754
1032315,0.003007217321571772,0.9580152671755725
1032760,0.00019976028765481422,1.0
1033257,0.0013913734843967402,0.952755905511811
1033267,0.0,1.0
1033481,0.006808014005057382,1.0
1033745,0.0005992808629644426,1.0
1033755,0.0031708283789139914,0.9557109557109557
1034151,0.025743364597884653,1.0
1034252,0.0013963694394574107,0.9741379310344828
1034292,0.0008066142367412785,1.0
1034435,0.0015399422521655437,0.8206896551724138
1034674,0.0017479122159642648,0.8652291105121294
1034722,0.00040096230954290296,0.8921568627450981
1034783,0.0,0.972972972972973
1034825,0.007726482518833301,1.0
1034877,0.0002008838891120932,0.8388429752066116
1034878,0.0004,1.0
1034931,0.0013986013986013986,1.0
1034939,0.005601120224044809,0.9522968197879859
1035193,0.006845052893590542,0.9736842105263158
1035329,0.0026114905584572116,0.9880239520958084
1035432,0.002413515687851971,0.9585921325051759
1036280,0.0,1.0
1036360,0.004020100502512563,1.0
